資料夾,檔案名稱,檔案路徑,Namespace,Ref Node,Reference 路徑,狀態
C2030,ANI_C2030_Idle_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Idle_001_v01.mb,unknown,groundRN,X:/Art/1_Assets/3_Animation/MAYA/ground.mb,正常
C2030,ANI_C2030_Knee_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Knee_001_v01.mb,unknown,SK_C1010_WS_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_C1010_WS_rig.mb,正常
C2030,ANI_C2030_Knee_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Knee_001_v01.mb,:SK_C1010_rig,SK_C1010_rigRN,Y:/MAYA/scenes/Rig/Bip/SK_C2030_rig.mb,正常
C2030,ANI_C2030_Knee_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Knee_001_v01.mb,:SK_W1010_rig,SK_W1010_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_W1010_rig.mb,正常
C2030,ANI_C2030_Knee_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Knee_001_v01.mb,unknown,cameraRN1,X:/Art/1_Assets/3_Animation/MAYA/camera.mb,正常
C2030,ANI_C2030_Knee_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Knee_001_v01.mb,unknown,groundRN,X:/Art/1_Assets/3_Animation/MAYA/ground.mb,正常
C2030,ANI_C2030_Move_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Move_001_v01.mb,unknown,SK_C1010_WS_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_C1010_WS_rig.mb,正常
C2030,ANI_C2030_Move_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Move_001_v01.mb,unknown,SK_C1010_rigRN,Y:/MAYA/scenes/Rig/Bip/SK_C2030_rig.mb,正常
C2030,ANI_C2030_Move_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Move_001_v01.mb,unknown,SK_W1010_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_W1010_rig.mb,正常
C2030,ANI_C2030_Move_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Move_001_v01.mb,unknown,cameraRN,X:/Art/1_Assets/3_Animation/MAYA/camera.mb,正常
C2030,ANI_C2030_Move_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Move_001_v01.mb,unknown,groundRN,X:/Art/1_Assets/3_Animation/MAYA/ground.mb,正常
C2030,ANI_C2030_PlanCancel_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_PlanCancel_001_v01.mb,:SK_C1010_WS_rig,SK_C1010_WS_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_C1010_WS_rig.mb,正常
C2030,ANI_C2030_PlanCancel_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_PlanCancel_001_v01.mb,:SK_C1010_rig,SK_C1010_rigRN,Y:/MAYA/scenes/Rig/Bip/SK_C2030_rig.mb,正常
C2030,ANI_C2030_PlanCancel_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_PlanCancel_001_v01.mb,unknown,SK_W1010_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_W1010_rig.mb,正常
C2030,ANI_C2030_PlanCancel_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_PlanCancel_001_v01.mb,unknown,cameraRN,X:/Art/1_Assets/3_Animation/MAYA/camera.mb,正常
C2030,ANI_C2030_PlanCancel_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_PlanCancel_001_v01.mb,unknown,groundRN,X:/Art/1_Assets/3_Animation/MAYA/ground.mb,正常
C2030,ANI_C2030_PlanMove_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_PlanMove_001_v01.mb,unknown,SK_C1010_WS_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_C1010_WS_rig.mb,正常
C2030,ANI_C2030_PlanMove_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_PlanMove_001_v01.mb,:SK_C1010_rig,SK_C1010_rigRN,Y:/MAYA/scenes/Rig/Bip/SK_C2030_rig.mb,正常
C2030,ANI_C2030_PlanMove_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_PlanMove_001_v01.mb,:SK_W1010_rig,SK_W1010_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_W1010_rig.mb,正常
C2030,ANI_C2030_PlanMove_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_PlanMove_001_v01.mb,unknown,cameraRN,X:/Art/1_Assets/3_Animation/MAYA/camera.mb,正常
C2030,ANI_C2030_PlanMove_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_PlanMove_001_v01.mb,unknown,groundRN,X:/Art/1_Assets/3_Animation/MAYA/ground.mb,正常
C2030,ANI_C2030_Prepare_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Prepare_001_v01.mb,unknown,SK_C1010_WS_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_C1010_WS_rig.mb,正常
C2030,ANI_C2030_Prepare_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Prepare_001_v01.mb,:SK_C1010_rig,SK_C1010_rigRN,Y:/MAYA/scenes/Rig/Bip/SK_C2030_rig.mb,正常
C2030,ANI_C2030_Prepare_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Prepare_001_v01.mb,:SK_W1010_rig,SK_W1010_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_W1010_rig.mb,正常
C2030,ANI_C2030_Prepare_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Prepare_001_v01.mb,unknown,cameraRN,X:/Art/1_Assets/3_Animation/MAYA/camera.mb,正常
C2030,ANI_C2030_Prepare_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Prepare_001_v01.mb,unknown,groundRN,X:/Art/1_Assets/3_Animation/MAYA/ground.mb,正常
C2030,ANI_C2030_Prepare_002_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Prepare_002_v01.mb,unknown,SK_C1010_WS_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_C1010_WS_rig.mb,正常
C2030,ANI_C2030_Prepare_002_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Prepare_002_v01.mb,:SK_C1010_rig,SK_C1010_rigRN,Y:/MAYA/scenes/Rig/Bip/SK_C2030_rig.mb,正常
C2030,ANI_C2030_Prepare_002_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Prepare_002_v01.mb,:SK_W1010_rig,SK_W1010_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_W1010_rig.mb,正常
C2030,ANI_C2030_Prepare_002_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Prepare_002_v01.mb,unknown,cameraRN,X:/Art/1_Assets/3_Animation/MAYA/camera.mb,正常
C2030,ANI_C2030_Prepare_002_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Prepare_002_v01.mb,unknown,groundRN,X:/Art/1_Assets/3_Animation/MAYA/ground.mb,正常
C2030,ANI_C2030_Prepare_003_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Prepare_003_v01.mb,unknown,SK_C1010_WS_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_C1010_WS_rig.mb,正常
C2030,ANI_C2030_Prepare_003_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Prepare_003_v01.mb,:SK_C1010_rig,SK_C1010_rigRN,Y:/MAYA/scenes/Rig/Bip/SK_C2030_rig.mb,正常
C2030,ANI_C2030_Prepare_003_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Prepare_003_v01.mb,:SK_W1010_rig,SK_W1010_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_W1010_rig.mb,正常
C2030,ANI_C2030_Prepare_003_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Prepare_003_v01.mb,unknown,cameraRN,X:/Art/1_Assets/3_Animation/MAYA/camera.mb,正常
C2030,ANI_C2030_Prepare_003_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Prepare_003_v01.mb,unknown,groundRN,X:/Art/1_Assets/3_Animation/MAYA/ground.mb,正常
C2030,ANI_C2030_Push_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Push_001_v01.mb,unknown,SK_C1010_WS_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_C1010_WS_rig.mb,正常
C2030,ANI_C2030_Push_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Push_001_v01.mb,:SK_C1010_rig,SK_C1010_rigRN,Y:/MAYA/scenes/Rig/Bip/SK_C2030_rig.mb,正常
C2030,ANI_C2030_Push_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Push_001_v01.mb,:SK_W1010_rig,SK_W1010_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_W1010_rig.mb,正常
C2030,ANI_C2030_Push_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Push_001_v01.mb,unknown,cameraRN,X:/Art/1_Assets/3_Animation/MAYA/camera.mb,正常
C2030,ANI_C2030_Push_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Push_001_v01.mb,unknown,groundRN,X:/Art/1_Assets/3_Animation/MAYA/ground.mb,正常
C2030,ANI_C2030_Relaxe_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Relaxe_001_v01.mb,:SK_C1010_WS_rig,SK_C1010_WS_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_C1010_WS_rig.mb,正常
C2030,ANI_C2030_Relaxe_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Relaxe_001_v01.mb,:SK_C1010_rig,SK_C1010_rigRN,Y:/MAYA/scenes/Rig/Bip/SK_C2030_rig.mb,正常
C2030,ANI_C2030_Relaxe_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Relaxe_001_v01.mb,:SK_W1010_rig,SK_W1010_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_W1010_rig.mb,正常
C2030,ANI_C2030_Relaxe_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Relaxe_001_v01.mb,unknown,cameraRN,X:/Art/1_Assets/3_Animation/MAYA/camera.mb,正常
C2030,ANI_C2030_Relaxe_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Relaxe_001_v01.mb,unknown,groundRN,X:/Art/1_Assets/3_Animation/MAYA/ground.mb,正常
C2030,ANI_C2030_Relaxe_002_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Relaxe_002_v01.mb,unknown,SK_C1010_WS_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_C1010_WS_rig.mb,正常
C2030,ANI_C2030_Relaxe_002_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Relaxe_002_v01.mb,:SK_C1010_rig,SK_C1010_rigRN,Y:/MAYA/scenes/Rig/Bip/SK_C2030_rig.mb,正常
C2030,ANI_C2030_Relaxe_002_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Relaxe_002_v01.mb,:SK_W1010_rig,SK_W1010_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_W1010_rig.mb,正常
C2030,ANI_C2030_Relaxe_002_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Relaxe_002_v01.mb,unknown,cameraRN,X:/Art/1_Assets/3_Animation/MAYA/camera.mb,正常
C2030,ANI_C2030_Relaxe_002_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Relaxe_002_v01.mb,unknown,groundRN,X:/Art/1_Assets/3_Animation/MAYA/ground.mb,正常
C2030,ANI_C2030_SoulSkill01_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_SoulSkill01_001_v01.mb,unknown,SK_C1010_WS_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_C1010_WS_rig.mb,正常
C2030,ANI_C2030_SoulSkill01_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_SoulSkill01_001_v01.mb,:SK_C1010_rig,SK_C1010_rigRN,Y:/MAYA/scenes/Rig/Bip/SK_C2030_rig.mb,正常
C2030,ANI_C2030_SoulSkill01_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_SoulSkill01_001_v01.mb,:SK_W1010_rig,SK_W1010_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_W1010_rig.mb,正常
C2030,ANI_C2030_SoulSkill01_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_SoulSkill01_001_v01.mb,unknown,cameraRN,X:/Art/1_Assets/3_Animation/MAYA/camera.mb,正常
C2030,ANI_C2030_SoulSkill01_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_SoulSkill01_001_v01.mb,unknown,groundRN,X:/Art/1_Assets/3_Animation/MAYA/ground.mb,正常
C2030,ANI_C2030_SoulSkill01_002_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_SoulSkill01_002_v01.mb,unknown,SK_C1010_WS_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_C1010_WS_rig.mb,正常
C2030,ANI_C2030_SoulSkill01_002_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_SoulSkill01_002_v01.mb,:SK_C1010_rig,SK_C1010_rigRN,Y:/MAYA/scenes/Rig/Bip/SK_C2030_rig.mb,正常
C2030,ANI_C2030_SoulSkill01_002_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_SoulSkill01_002_v01.mb,:SK_W1010_rig,SK_W1010_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_W1010_rig.mb,正常
C2030,ANI_C2030_SoulSkill01_002_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_SoulSkill01_002_v01.mb,unknown,cameraRN1,X:/Art/1_Assets/3_Animation/MAYA/camera.mb,正常
C2030,ANI_C2030_SoulSkill01_002_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_SoulSkill01_002_v01.mb,unknown,groundRN,X:/Art/1_Assets/3_Animation/MAYA/ground.mb,正常
C2030,ANI_C2030_SoulSkill02_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_SoulSkill02_001_v01.mb,unknown,SK_C1010_WS_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_C1010_WS_rig.mb,正常
C2030,ANI_C2030_SoulSkill02_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_SoulSkill02_001_v01.mb,:SK_C1010_rig,SK_C1010_rigRN,Y:/MAYA/scenes/Rig/Bip/SK_C2030_rig.mb,正常
C2030,ANI_C2030_SoulSkill02_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_SoulSkill02_001_v01.mb,:SK_W1010_rig,SK_W1010_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_W1010_rig.mb,正常
C2030,ANI_C2030_SoulSkill02_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_SoulSkill02_001_v01.mb,unknown,cameraRN,X:/Art/1_Assets/3_Animation/MAYA/camera.mb,正常
C2030,ANI_C2030_SoulSkill02_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_SoulSkill02_001_v01.mb,unknown,groundRN,X:/Art/1_Assets/3_Animation/MAYA/ground.mb,正常
C2030,ANI_C2030_SoulSkill03_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_SoulSkill03_001_v01.mb,unknown,SK_C1010_WS_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_C1010_WS_rig.mb,正常
C2030,ANI_C2030_SoulSkill03_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_SoulSkill03_001_v01.mb,:SK_C1010_rig,SK_C1010_rigRN,Y:/MAYA/scenes/Rig/Bip/SK_C2030_rig.mb,正常
C2030,ANI_C2030_SoulSkill03_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_SoulSkill03_001_v01.mb,:SK_W1010_rig,SK_W1010_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_W1010_rig.mb,正常
C2030,ANI_C2030_SoulSkill03_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_SoulSkill03_001_v01.mb,unknown,cameraRN,X:/Art/1_Assets/3_Animation/MAYA/camera.mb,正常
C2030,ANI_C2030_SoulSkill03_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_SoulSkill03_001_v01.mb,unknown,groundRN,X:/Art/1_Assets/3_Animation/MAYA/ground.mb,正常
C2030,ANI_C2030_Spawn_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Spawn_001_v01.mb,unknown,SK_C1010_WS_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_C1010_WS_rig.mb,正常
C2030,ANI_C2030_Spawn_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Spawn_001_v01.mb,:SK_C1010_rig,SK_C1010_rigRN,Y:/MAYA/scenes/Rig/Bip/SK_C2030_rig.mb,正常
C2030,ANI_C2030_Spawn_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Spawn_001_v01.mb,:SK_W1010_rig,SK_W1010_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_W1010_rig.mb,正常
C2030,ANI_C2030_Spawn_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Spawn_001_v01.mb,unknown,cameraRN1,X:/Art/1_Assets/3_Animation/MAYA/camera.mb,正常
C2030,ANI_C2030_Spawn_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Spawn_001_v01.mb,unknown,groundRN,X:/Art/1_Assets/3_Animation/MAYA/ground.mb,正常
C2030,ANI_C2030_StunOver_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_StunOver_001_v01.mb,unknown,SK_C1010_WS_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_C1010_WS_rig.mb,正常
C2030,ANI_C2030_StunOver_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_StunOver_001_v01.mb,:SK_C1010_rig,SK_C1010_rigRN,Y:/MAYA/scenes/Rig/Bip/SK_C2030_rig.mb,正常
C2030,ANI_C2030_StunOver_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_StunOver_001_v01.mb,unknown,SK_W1010_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_W1010_rig.mb,正常
C2030,ANI_C2030_StunOver_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_StunOver_001_v01.mb,unknown,cameraRN,X:/Art/1_Assets/3_Animation/MAYA/camera.mb,正常
C2030,ANI_C2030_StunOver_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_StunOver_001_v01.mb,unknown,groundRN,X:/Art/1_Assets/3_Animation/MAYA/ground.mb,正常
C2030,ANI_C2030_Stun_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Stun_001_v01.mb,unknown,SK_C1010_WS_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_C1010_WS_rig.mb,正常
C2030,ANI_C2030_Stun_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Stun_001_v01.mb,:SK_C1010_rig,SK_C1010_rigRN,Y:/MAYA/scenes/Rig/Bip/SK_C2030_rig.mb,正常
C2030,ANI_C2030_Stun_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Stun_001_v01.mb,:SK_W1010_rig,SK_W1010_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_W1010_rig.mb,正常
C2030,ANI_C2030_Stun_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Stun_001_v01.mb,unknown,cameraRN,X:/Art/1_Assets/3_Animation/MAYA/camera.mb,正常
C2030,ANI_C2030_Stun_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Stun_001_v01.mb,unknown,groundRN,X:/Art/1_Assets/3_Animation/MAYA/ground.mb,正常
C2030,ANI_C2030_Support_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Support_001_v01.mb,unknown,SK_C1010_WS_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_C1010_WS_rig.mb,正常
C2030,ANI_C2030_Support_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Support_001_v01.mb,:SK_C1010_rig,SK_C1010_rigRN,Y:/MAYA/scenes/Rig/Bip/SK_C2030_rig.mb,正常
C2030,ANI_C2030_Support_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Support_001_v01.mb,:SK_W1010_rig,SK_W1010_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_W1010_rig.mb,正常
C2030,ANI_C2030_Support_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Support_001_v01.mb,unknown,cameraRN1,X:/Art/1_Assets/3_Animation/MAYA/camera.mb,正常
C2030,ANI_C2030_Support_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Support_001_v01.mb,unknown,groundRN,X:/Art/1_Assets/3_Animation/MAYA/ground.mb,正常
C2030,ANI_C2030_Terminate_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Terminate_001_v01.mb,unknown,SK_C1010_WS_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_C1010_WS_rig.mb,正常
C2030,ANI_C2030_Terminate_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Terminate_001_v01.mb,:SK_C1010_rig,SK_C1010_rigRN,Y:/MAYA/scenes/Rig/Bip/SK_C2030_rig.mb,正常
C2030,ANI_C2030_Terminate_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Terminate_001_v01.mb,:SK_W1010_rig,SK_W1010_rigRN,Y:/MAYA/scenes/Rig/Acs/SK_W1010_rig.mb,正常
C2030,ANI_C2030_Terminate_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Terminate_001_v01.mb,unknown,cameraRN,X:/Art/1_Assets/3_Animation/MAYA/camera.mb,正常
C2030,ANI_C2030_Terminate_001_v01.mb,Y:\MAYA\scenes\Ani\C2030\ANI_C2030_Terminate_001_v01.mb,unknown,groundRN,X:/Art/1_Assets/3_Animation/MAYA/ground.mb,正常
